IdSkill,id,Skill,Nombre,TipoSkill
call center,1116393784,call center,Call Center,HardSkill
call center,1116393764,call center,Call Center,HardSkill
call center,1116413030,call center,Call Center,HardSkill
call center,1116411600,call center,Call Center,HardSkill
call center,1116408810,call center,Call Center,HardSkill
call center,1116397881,call center,Call Center,HardSkill
call center,1116397989,call center,Call Center,HardSkill
call center,1116396280,call center,Call Center,HardSkill
call center,1116396109,call center,Call Center,HardSkill
call center,1116392198,call center,Call Center,HardSkill
call center,1116394832,call center,Call Center,HardSkill
call center,1116395481,call center,Call Center,HardSkill
call center,107linkdin,call center,Call Center,HardSkill
call center,121linkdin,call center,Call Center,HardSkill
call center,144linkdin,call center,Call Center,HardSkill
call center,338linkdin,call center,Call Center,HardSkill
call center,457linkdin,call center,Call Center,HardSkill
call center,472linkdin,call center,Call Center,HardSkill
call center,555linkdin,call center,Call Center,HardSkill
call center,583linkdin,call center,Call Center,HardSkill
call center,593linkdin,call center,Call Center,HardSkill
call center,616linkdin,call center,Call Center,HardSkill
call center,736linkdin,call center,Call Center,HardSkill
call center,799linkdin,call center,Call Center,HardSkill
call center,1032linkdin,call center,Call Center,HardSkill
call center,1333linkdin,call center,Call Center,HardSkill
call center,1436linkdin,call center,Call Center,HardSkill
call center,1547linkdin,call center,Call Center,HardSkill
call center,1564linkdin,call center,Call Center,HardSkill
call center,1573linkdin,call center,Call Center,HardSkill
call center,1584linkdin,call center,Call Center,HardSkill
call center,1595linkdin,call center,Call Center,HardSkill
call center,1606linkdin,call center,Call Center,HardSkill
call center,1658linkdin,call center,Call Center,HardSkill
call center,1659linkdin,call center,Call Center,HardSkill
call center,1664linkdin,call center,Call Center,HardSkill
call center,1685linkdin,call center,Call Center,HardSkill
call center,1691linkdin,call center,Call Center,HardSkill
call center,1711linkdin,call center,Call Center,HardSkill
call center,1747linkdin,call center,Call Center,HardSkill
call center,1816linkdin,call center,Call Center,HardSkill
call center,1820linkdin,call center,Call Center,HardSkill
call center,1824linkdin,call center,Call Center,HardSkill
call center,1825linkdin,call center,Call Center,HardSkill
call center,1826linkdin,call center,Call Center,HardSkill
call center,1830linkdin,call center,Call Center,HardSkill
call center,1831linkdin,call center,Call Center,HardSkill
call center,1893linkdin,call center,Call Center,HardSkill
