cambioResidencia,viajar,empresa,ciudad,areaName,fechaHoraPublicacion,fechaPublicacion,experienciaAnos,skills,provincia,idiomas,descripcionTitulo,descripcion,tipoTrabajo,tipoContrato,salarioDescripcion,salario,titulo,edadMaxima,edadMinima,educacionMinima,cantidadVacante,modalidadTrabajo,empresaVerificada,anuncioRelevante,aptoDiscapacitado,promedioEmpresa
False,False,Cooperativa JEP,Ecuador,Ventas,2024-09-08T04:44:09,,-1,,Pastaza,,Puyo,Importante empresa requiere contratar un Oficial de Recuperación de Créditos para Puyo		Actividades esenciales del puesto:		-Realizar visitas para gestionar cobros de la cartera asignada.	-Realizar los reportes de campo. recibos de cobro. notificación. informes de demanda y de créditos para castigo.	-Analizar y planificar las actividades para la recuperación de cartera asignada.		Requisitos:		-Tener movilización propia. (carro – moto)	-Licencia vigente 	-Orientación al cumplimiento de metas.		Beneficios:		Salario competitivo + Bono de movilización + Comisiones.	Crecimiento profesional y personal.,Tiempo Completo,Contrato por tiempo determinado,500.00 US$ (Mensual),500,Gestor de cobranzas,41,22,Bachillerato / Educación Media,1,Presencial,True,False,False,4.5
False,False,DUOCELL S.A.,Ecuador,Ingeniería,2024-07-16T13:19:02,,1,,Pastaza,,Con experiencia,planificar. diseñar. construir. fiscalizar y supervisar proyectos de obras civiles. tales como estructuras y desarrollar diversos sistemas para extraer el petróleo y el gas de una manera más eficiente.,Tiempo Completo,Contrato por tiempo indefinido,3.100.00 US$ (Mensual),3100,Ingeniero civil,56,22,Universidad,40,Presencial,False,False,True,4.2
